,College,Location,University,Course Offered,Ownership Type,Phone Number,Email
386,Rauleshwar Janta Aadarsh Multiple Campus,"Beldandi, Beldandi, Kanchanpur",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",community Institution,9759502223,
387,Dudhakoshi Multiple Campus,"Salyan, Nechasalyan, Solukhumbu",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",community Institution,,
388,Rampratap Ramprasad Tamang Janata Multiple Campus,"Ashanpur, Golbazar, Siraha",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 MA in Sociology
 Master of Business Studies
        (MBS)
 Master of Education General
        (M.Ed)",community Institution,033-540013,
389,Dhulikhel Sanjeevani Campus,"Dhulikhel, Kavrepalanchok",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Studies
        (BBS)",community Institution,011-662074,
390,​Sotang Public Campus,"Sotang, Solukhumbu",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
391,Bhanu Multiple Campus,"Dodhara Chadani, Dodhara, Mahakali, Kanchanpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,"099-691216, 9759502269",
392,​Shree Janaekta Multiple Campus,"Jimuwa, Kanchanpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
393,Sharada Campus,"Kamal binayak, Bhaktapur",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Master of Education in Population Education
        (M.Ed)
 MEd Nepali Language Education
 MEd Education Planning and Management",community Institution,01-6614880,sharadacampus@yahoo.com
394,​Baijnath Multiple Campus,"Jhalari, Kanchanpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
395,Kamala Multiple Campus,"Dudhauli, Dudhouli, Sindhuli",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)",community Institution,9807772143,
396,Rastriya Campus,"Dattu, Mahakali, Darchula",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
397,​Jana Chetana Multiple Campus,"Sanni Tribeni, Kalikot",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
398,Birendra Namuna Campus,"Chandragadhi, Bhadrapur, Jhapa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,023-456339,
399,Juddha Campus,"Gaur, Gaur, Rautahat",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",community Institution,,
400,"Himalaya Campus, Khadbari","Khadbari, Khandbari, Sankhuwasabha",Tribhuvan University,"Bachelor of Education
        (BEd)
 Master of Education General
        (M.Ed)",community Institution,029-560195,
401,Shivasurya Campus,"Chure, Kailali",,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
402,Hyatrung Jharana Campus,"Aathrai, Tehrathum",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
403,Dhulabari Campus,"Dhulabari, Mechinagar, Jhapa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Pre-Diploma in Civil Engineering (Civil Sub-Overseer)
        (Civil Sub-Overseer)",community Institution,023561626,dlbcampus@gmail.com
404,Khaptad Multiple Campus,"Masuriya, Gauriganga, Kailali",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,091-69153,
405,Radijyula Shiksha Campus,"Aathbiskot, Aathbiskot, Western Rukum",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
406,​Shiva Shakti Campus,"Phoolbari, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
407,Nanda Devi Multiple Campus,"Kotbada, Naraharinath, Kalikot",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
408,Mangal Jana Bijaya Campus,"Mangaltar, Roshi, Kavrepalanchok",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
409,Parbati Multiple Campus,"Dhungakharka8, Geldung, Dhungakharka, Bethanchowk, Kavrepalanchok",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
410,Radhadamodar Sanskrit Vidyapeeth,"Keladighat, Chapakot, Syangja",Nepal Sanskrit University,"Shastri
 Uttar Madhyama",community Institution,063-429302,
411,Jyoti Multiple Campus,"Thada, Sitganga, Arghakhanchi",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
412,Avayananda Education Campus,"Indrawati, Sindhupalchok",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
413,Wahaki Community Campus,"Shaligram, Bihadi, Parbat",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",community Institution,,wahakicampus@gmail.com
414,Udbuddha College,"Tansen, Purbakhola, Palpa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,075-690247,
415,Shantideep Multiple Campus,"Kushmisera, Jaimuni, Baglung",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,9847677654,
416,Kedar Jyoti Punja Multiple Campus,"BP Nagal, Badikedar, Doti",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
417,Kapan Multiple Campus,"Kapan, Budhanilakantha, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,"01-4823580, 9851173580, 9851079850, 98510049452",kapancampus@gmail.com
418,Annapurna Community Campus,"Karkineta, Phalebas, Parbat",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
419,Nawa Nepal Campus,"Jugar, Rolpa",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
420,Paanchpokhari Multiple Campus,"Sipapokhara, Indrawati, Sindhupalchok",Tribhuvan University,"Bachelor of Arts
        (BA)",community Institution,,
421,Prakash Campus,"Bhulnutar, Bhumlu, Kavrepalanchok",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
422,Latinath Campus,"Marma, Darchula",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
423,Phulchowki College,"Thaiba, Godawari, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Diploma in Civil Engineering",community Institution,01-5560582,
424,Madi campus Sankhuwasabha,"Madi, Madi, Sankhuwasabha",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,029-680345,
425,Chandeswari Multiple Campus,"Tupche, Bidur, Nuwakot",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",community Institution,010-680596,
426,Chaturbhujeshwar Janata Multiple Campus,"Sukhepokhari,, Hariwan, Sarlahi",National Examinations Board,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Master of Education in Health Education
        (M.Ed)
 MEd Education Planning and Management",community Institution,"046-530413, 9854037700, 9861102314",info@cjmcsarlahi.edu.np
427,Masyam Ekikrit Campus,"Masyam, Tinau, Palpa",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,9847028801,
428,Chautara Multiple Campus,"Chautara, Chautara Sangachokgadhi, Sindhupalchok",Tribhuvan University,"Bachelor of Science (General)
        (BSc)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 MEd in English Language Education
 MEd Nepali Language Education",community Institution,011 - 690252,info@chautaracampus.edu.np
429,Sita Ramesh Multiple Campus,"Budhabare 6, Budhabare, Buddhashanti, Jhapa",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,023-555557,
430,Shigas Education Campus,"Raksaun, Budakot, Raksaun, Sigas, Baitadi",National Examinations Board,"Bachelor of Education
        (BEd)
 Ten Plus Two (+2) Education
        (+2 Education)",community Institution,,
431,Jana Prakash Multiple Campus,"Lekhnath-1, Bhandaridhik, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,061-561378,info@janaprakash.edu.np
432,Shramik Shanti Campus,"Chyasal, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",community Institution,01-5520110,
433,Gauri Shankar Campus Bara,"Nijgadh, Nijgadh, Bara",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,053-540414,
434,Shreekot Multiple Campus,"Shreekot, Dogadakedar, Baitadi",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
435,Kanya Campus Pokhara,"Nadipur, Pokhara, Pokhara Lekhnath, Kaski",National Examinations Board,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Master of Education General
        (M.Ed)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Master of Business Studies
        (MBS)
 Bachelor of Information Management
        (BIM)",community Institution,"061-522256 , 061-533456",kcpokhara2048@gmail.com
436,​Kakaling Campus,"Thulopakhar, Lisangkhu Pakhar, Sindhupalchok",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,"9741157935, 9843532476",
437,Laxmi Adarsha Multiple Campus,"Kabi Shiromani Lekhnath Marga, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,"061-560019 , 061-563534",laxmi.adarsha2062@gmail.com
438,​Sindhu Valley Campus,"Melamchi, Sindhupalchok",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
439,Nava Prabhat Campus,"Pancheshwar, Baitadi",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
440,Sarlahi Campus,"Malangwa, Malangwa, Sarlahi",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Master of Education General
        (M.Ed)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)
 Master of Business Studies
        (MBS)",community Institution,"046-520373, 046-520373",info@sarlahicampus.com
441,Janajyoti Multiple Campus-Chandranigahpur,"Chandranigahpur, Chandrapur, Rautahat",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 MA in Sociology
 Master of Business Studies
        (MBS)",community Institution,055-540136,
442,Tamakoshi Campus,"Khimti, Likhu, Ramechhap",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,048-620352,
443,Janajyoti Adarsha Campus,"Paragatinagar, Devchuli, Nawalpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,078-575541,
444,​Narayan Multiple Campus,Sarlahi,Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
445,Karmaiya Adarsha Janata Campus,"Bagmati, Sarlahi",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
446,Bhadrakali Multiple Campus,"Kundahar, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",community Institution,"061-522799 , 061-523477 , 061-533787",bmcpokhara@gmail.com
447,​Bindhyabasini Campus,"Batulechaur, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,,
448,Sankhuwasabha Multiple Campus,"Chainpur, Chainpur, Sankhuwasabha",National Examinations Board,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)",community Institution,029-570208,
449,Aarungkhola Multiple Campus,"Aarungkhola, Bardaghat, Madhyabindu, Nawalpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,078-555333,info@aarungkhola.edu.np
450,Namuna Machhindra Campus,"Lagankhel, Lalitpur",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)",community Institution,"01-500414, 01-5004064",
451,Rastriya College,"Sukhad, Ghodaghodi, Kailali",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 MA in Rural Development
        (MRD)
 Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",community Institution,091-403038,
452,Baruwa Campus,"Gaighat, Triyuga, Udayapur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,035-421342,baruwa.campus@gmail.com
